Investor,Stock1,Stock2,Stock3,Stock4,Stock5
Investor1,ZS,IBM,NUAI,APPS,RBLX
Investor2,GOOGL,RKLB,AVGO,MSFT,GE
Investor3,META,MELI,CRM,AMD,CMG
Investor4,NVDA,MELI,MSFT,TSM,Googl
Investor5,GOOG,FBTC,FETH,NVDA,
